Date,Saskatchewan Receipts,Interconnected Receipts,Total Receipts,Saskatchewan Deliveries,Interconnected Deliveries,Exports,Total Deliveries,TransGas Storage Inventory,TransGas Storage % Full,Third Party Storage Injection,Third Party Storage Production,TransGas Storage Injection,TransGas Storage Production,Total Storage Activities,Operational Adjustments
2013-11-01,382,297,688,617,0,3,620,47098,0,0,0,0,0,0,-68
2013-11-02,380,307,696,630,0,3,633,47144,0,0,0,0,0,0,-63
2013-11-03,374,307,690,688,0,3,691,47190,0,0,0,0,0,0,1
2013-11-04,366,267,642,815,0,3,818,47201,0,0,0,0,0,0,176
2013-11-05,367,305,681,789,0,3,792,47133,0,0,0,0,0,0,111
2013-11-06,362,304,675,757,0,3,760,47027,0,0,0,0,0,0,85
2013-11-07,374,305,688,683,0,3,686,46922,0,0,0,0,0,0,-2
2013-11-08,375,305,689,725,0,3,728,46879,0,0,0,0,0,0,39
2013-11-09,373,302,685,790,0,3,793,46826,0,0,0,0,0,0,108
2013-11-10,369,302,680,897,0,3,900,46779,0,0,0,0,0,0,220
2013-11-11,367,302,678,823,0,3,826,46663,0,0,0,0,0,0,148
2013-11-12,372,305,686,695,0,3,698,46471,0,0,0,0,0,0,12
2013-11-13,374,305,688,680,0,3,683,46456,0,0,0,0,0,0,-5
2013-11-14,372,304,685,718,0,3,721,46546,0,0,0,0,0,0,36
2013-11-15,377,267,653,688,0,3,691,46569,0,0,0,0,0,0,38
2013-11-16,376,267,652,775,0,3,778,46512,0,0,0,0,0,0,126
2013-11-17,370,267,646,805,0,3,808,46424,0,0,0,0,0,0,162
2013-11-18,361,267,636,787,0,3,790,46293,0,0,0,0,0,0,154
2013-11-19,359,268,636,800,0,3,803,46176,0,0,0,0,0,0,167
2013-11-20,342,306,657,941,0,3,944,46025,0,0,0,0,0,0,287
2013-11-21,345,306,660,945,0,3,948,45778,0,0,0,0,0,0,288
2013-11-22,342,271,622,994,0,3,997,45531,0,0,0,0,0,0,375
2013-11-23,348,268,625,853,0,3,856,45247,0,0,0,0,0,0,231
2013-11-24,359,268,636,751,0,3,754,45095,0,0,0,0,0,0,118
2013-11-25,366,269,642,876,0,3,879,44979,0,0,0,0,0,0,237
2013-11-26,365,264,635,860,0,3,863,44703,0,0,0,0,0,0,228
2013-11-27,369,265,641,831,0,3,834,44508,0,0,0,0,0,0,193
2013-11-28,369,268,644,839,0,3,842,44327,0,0,0,0,0,0,198
2013-11-29,364,268,639,832,0,3,835,44118,0,0,0,0,0,0,196
2013-11-30,369,268,643,818,0,3,821,43971,0,0,0,0,0,0,178
2013-12-01,366,220,597,820,0,3,823,43845,0,0,0,0,0,0,226
2013-12-02,361,270,642,894,0,3,897,43629,0,0,0,0,0,0,255
2013-12-03,354,300,664,924,0,3,927,43470,0,0,0,0,0,0,263
2013-12-04,337,249,595,973,0,3,976,43114,0,0,0,0,0,0,381
2013-12-05,311,270,590,1073,0,2,1075,42733,0,0,0,0,0,0,485
2013-12-06,294,246,549,1143,0,11,1154,42319,0,0,0,0,0,0,605
2013-12-07,283,240,531,1105,0,52,1157,41797,0,0,0,0,0,0,626
2013-12-08,298,240,546,1046,0,52,1098,41257,0,0,0,0,0,0,552
2013-12-09,306,251,566,948,0,52,1000,40567,0,0,0,0,0,0,434
2013-12-10,331,245,585,1000,0,62,1062,40124,0,0,0,0,0,0,477
2013-12-11,318,250,577,948,0,106,1054,39715,0,0,0,0,0,0,477
2013-12-12,334,296,639,950,1,108,1059,39352,0,0,0,0,0,0,420
2013-12-13,330,295,634,1028,1,23,1052,38890,0,0,0,0,0,0,418
2013-12-14,322,296,626,980,1,13,994,38521,0,0,0,0,0,0,368
2013-12-15,344,296,648,839,1,13,853,38199,0,0,0,0,0,0,205
2013-12-16,356,295,661,812,1,13,826,37946,0,0,0,0,0,0,165
2013-12-17,353,293,655,887,1,13,901,37769,0,0,0,0,0,0,246
2013-12-18,350,270,629,1023,1,13,1037,37659,0,0,0,0,0,0,408
2013-12-19,347,251,607,1051,1,13,1065,37284,0,0,0,0,0,0,458
2013-12-20,345,292,645,1083,1,13,1097,36887,0,0,0,0,0,0,452
2013-12-21,336,281,625,1072,1,13,1086,36410,0,0,0,0,0,0,461
2013-12-22,331,289,628,1083,1,13,1097,35969,0,0,0,0,0,0,469
2013-12-23,327,298,633,1003,1,13,1017,35518,0,0,0,0,0,0,384
2013-12-24,343,292,643,722,1,13,736,35178,0,0,0,0,0,0,93
2013-12-25,336,284,629,727,1,13,741,35087,0,0,0,0,0,0,112
2013-12-26,347,297,653,692,1,13,706,34939,0,0,0,0,0,0,53
2013-12-27,350,292,650,794,1,13,808,34844,0,0,0,0,0,0,158
2013-12-28,345,285,639,1015,1,13,1029,34787,0,0,0,0,0,0,390
2013-12-29,340,292,641,1007,1,13,1021,34520,0,0,0,0,0,0,380
2013-12-30,340,293,642,1081,0,13,1094,34186,0,0,0,0,0,0,452
2013-12-31,334,298,641,1076,0,13,1089,33731,0,0,0,0,0,0,448
2014-01-01,332,293,633,1028,0,13,1041,33342,0,0,0,0,0,0,408
2014-01-02,331,293,632,890,0,13,903,32939,0,0,0,0,0,0,271
2014-01-03,346,299,654,863,0,13,876,32742,0,0,0,0,0,0,222
2014-01-04,329,282,621,1011,0,13,1024,32531,0,0,0,0,0,0,403
2014-01-05,292,317,618,1092,0,12,1104,32238,0,0,0,0,0,0,486
2014-01-06,295,313,617,1022,0,13,1035,31845,0,0,0,0,0,0,418
2014-01-07,322,289,618,1004,0,13,1017,31507,0,0,0,0,0,0,399
